dirname,filename,std,mean
0523 simple recirc 1 ml hr,D14_Device5_t8,89.57774294754564,113.11770091337316
0523 simple recirc 1 ml hr,D14_Device2_t1,73.62002089981694,62.64898753446691
0523 simple recirc 1 ml hr,D21_device2_t7-1,86.8706330175109,130.23052978515625
0523 simple recirc 1 ml hr,D34_device2_t6-1,44.69638093044816,59.39315688189338
0523 simple recirc 1 ml hr,D28_device5_t5,87.1726192417794,147.3930455824908
0523 simple recirc 1 ml hr,D34_device4_t3-1,56.12526557953614,64.64757510914522
0523 simple recirc 1 ml hr,D21_device5_t2-1,62.079310845356304,108.58848374310662
0523 simple recirc 1 ml hr,D21_device4_t2-1,55.149634336285324,80.41824448529412
0523 simple recirc 1 ml hr,D34_device5_t1-1,66.34261315421655,93.32077205882354
0523 simple recirc 1 ml hr,D34_device4_t1-1,82.17605971681564,107.08606459673713
0523 simple recirc 1 ml hr,D14_Device2_t2,97.17878781462524,122.57352294921876
0523 simple recirc 1 ml hr,D21_device2_t5-1,53.74154317979017,95.86685862821692
0523 simple recirc 1 ml hr,D28_device5_t7,79.31167663136355,120.03293241613052
0523 simple recirc 1 ml hr,D14_Device2_t3,100.52087693753508,112.15573515050552
0523 simple recirc 1 ml hr,D34_device2_t4-1,72.94997171680205,96.62192670036765
0523 simple recirc 1 ml hr,D14_Device2_t7,90.11038592156265,118.75977783203125
0523 simple recirc 1 ml hr,D28_device5_t3,38.54495718915771,64.82227855009191
0523 simple recirc 1 ml hr,D21_device2_t1-1,66.12930274769604,113.44075209673713
0523 simple recirc 1 ml hr,D21_device4_t4-1,81.87642890811884,91.69360854204963
0523 simple recirc 1 ml hr,D21_device2_t3-2,53.30762272335026,106.3464599609375
0523 simple recirc 1 ml hr,D34_device5_t5-1,42.88527186251664,57.80578110638787
0523 simple recirc 1 ml hr,D34_device4_t5-1,57.21118870450748,68.0250639073989
0523 simple recirc 1 ml hr,D28_device5_t2,89.39746377804,143.46553596047795
0523 simple recirc 1 ml hr,D14_Device2_t6,82.04467256129483,145.27865851907168
0523 simple recirc 1 ml hr,D14_Device2_t4,102.64459304730313,175.58593031939338
0523 simple recirc 1 ml hr,D21_device5_t6-1,36.53681976622635,51.086526309742645
0523 simple recirc 1 ml hr,D21_device4_t6-1,82.17520297581709,135.585695513557
0523 simple recirc 1 ml hr,D34_device5_t7-1,32.797998838117636,49.081878303079044
0523 simple recirc 1 ml hr,D34_device4_t7-1,87.61694874835246,101.46796156939338
0523 simple recirc 1 ml hr,D34_device2_t2-1,75.41259891082527,89.00939295151655
0523 simple recirc 1 ml hr,D28_device2_t8,83.76362404909585,116.80521814682905
0523 simple recirc 1 ml hr,D28_device5_t1,90.5892550935923,141.80469683478861
0523 simple recirc 1 ml hr,D14_Device2_t5,75.38327377426073,168.57933134191177
0523 simple recirc 1 ml hr,D21_device5_t1-1,40.417015806304796,67.27627527573529
0523 simple recirc 1 ml hr,D14_Device4_t3,45.779034569948905,57.779961081112134
0523 simple recirc 1 ml hr,D21_device4_t1-1,77.57169180001165,100.26430879480698
0523 simple recirc 1 ml hr,D34_device2_t5-1,53.43274344317688,78.42884593290441
0523 simple recirc 1 ml hr,D21_device2_t4-1,55.96128525310159,63.49765768612132
0523 simple recirc 1 ml hr,D14_Device4_t2,30.84892007464293,83.12750962201287
0523 simple recirc 1 ml hr,D34_device2_t7-1,63.785104934650676,74.32919491038604
0523 simple recirc 1 ml hr,D21_device2_t6-1,55.425721859647986,91.63495303883272
0523 simple recirc 1 ml hr,D21_device5_t3-1,58.007899933243735,82.5021728515625
0523 simple recirc 1 ml hr,D21_device4_t3-1,63.945206566331414,73.38786836511949
0523 simple recirc 1 ml hr,D14_Device4_t1,39.52529588029029,87.76967414407169
0523 simple recirc 1 ml hr,D34_device5_t2-1,68.75046129114715,102.01366325827206
0523 simple recirc 1 ml hr,D34_device4_t2-1,69.78700840682919,80.86381333295037
0523 simple recirc 1 ml hr,D21_device5_t7-1,37.650195390363024,59.728532858455885
0523 simple recirc 1 ml hr,D21_device4_t7-1,77.6379850950542,85.51673583984375
0523 simple recirc 1 ml hr,D14_Device4_t5,81.028291124765,114.37435733570771
0523 simple recirc 1 ml hr,D28_device4_t8,58.560900940443716,80.10588163488052
0523 simple recirc 1 ml hr,D14_Device4_t4,69.28223414686232,99.42085176355698
0523 simple recirc 1 ml hr,D34_device2_t1-1,44.78019642454415,53.07610509535846
0523 simple recirc 1 ml hr,D14_Device4_t6,74.08570901505156,126.43040699678309
0523 simple recirc 1 ml hr,D14_Device4_t7,92.27290974547105,111.71241383272059
0523 simple recirc 1 ml hr,D34_device4_t4-1,37.85279299205831,39.04854233685662
0523 simple recirc 1 ml hr,D21_device5_t5-1,57.16283904001003,124.62554931640625
0523 simple recirc 1 ml hr,D21_device4_t5-1,86.71730559585174,120.00846090877758
0523 simple recirc 1 ml hr,D34_device2_t3-2,40.266365309104735,57.91252297794118
0523 simple recirc 1 ml hr,D34_device4_t8-1,70.66274551263687,99.28606100643383
0523 simple recirc 1 ml hr,D34_device5_t8-1,98.79838152756582,109.66915283203124
0523 simple recirc 1 ml hr,D28_device4_t7,77.07905412014794,93.23882482192096
0523 simple recirc 1 ml hr,D28_device4_t6,96.48707243318616,161.8275297277114
0523 simple recirc 1 ml hr,D28_device4_t4,73.17234479618844,82.69741928998162
0523 simple recirc 1 ml hr,D14_Device4_t8,84.89398782050726,119.4680570714614
0523 simple recirc 1 ml hr,D28_device4_t1,87.91071130369276,127.57475729549633
