Organoid_ID,Label,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27
1,Bad,3.1867587822734524,4.228444907239696,-1.5089006768483564,2.602408383909003,-2.9367389392990604,-0.5070073160651095,-1.8873834805451013,0.6546456974298095,1.1135799578666288,0.8945734691481593,-0.5231804553456602,-0.5179367857066097,0.24274141736607005,-0.07306484728913988,-0.16759566496684244,-0.13243393708651233,-0.3300822974417646,-0.05418249098196221,-0.043063628609855374,0.047274217740066585,0.027238973370505952,-0.023675303946073076,0.11341144111522931,-0.011866817679512682,0.002081680680088899,0.0065811151715761155,4.726087307638144e-16
2,Bad,-6.222359876124963,1.8315535782685826,4.101349216048508,5.249633535556676,0.8554293477859721,0.960511895848072,1.4877464070715654,-1.5083238130024386,-0.3092654029871829,0.9818971784307915,-0.3801085160455246,1.1045472516916668,0.712688849929621,-0.1333859996882036,0.2551533680741425,-0.35835504967791204,-0.3691656051955066,0.40331095489496605,-0.1393592924138944,-0.04763874686665716,-0.04831810358949711,0.13194922107194088,0.03797223746469739,-0.011657350368075668,0.047453079978377166,-0.008375798247586944,4.965762515881183e-16
3,Good,-0.73335796443878,-3.0867743792484994,1.515149815852359,-0.522383308909247,0.7423860398547224,-0.28078038634870583,-0.3987356726320573,0.6949983080275389,0.006046479139428695,-0.027860588173932166,-0.0009640849013302687,-0.19540591120659428,0.5140948079607442,-0.5225604120808972,0.40152616892462434,-0.15663544513517033,-0.027676635099323988,0.027827998624284752,-0.1090223032174292,-0.03032882011013025,0.035699422448159844,-0.0676485910248183,-0.011185594630552447,0.034099625752450805,-0.041662774625097036,-0.0010078789920386687,1.4937416234833638e-16
4,Good,2.6018938932420665,-0.22175180189488655,3.0261535029147053,-0.34071050896041527,1.9223485246041896,1.4882862584286902,-1.737447743248247,-1.6062727474461123,2.6707130302008366,0.2534923985126557,1.6699338660243201,0.211307598150195,-0.26340194806292766,0.03404661635408961,-0.033328646372182046,0.4045590299700789,-0.004182972696459938,0.14377347139784663,0.060489356500872137,-0.012023550145362225,0.05758189077191438,0.10290983536632402,0.00023412791266256915,-0.02288482357041643,-0.05350915571921492,0.03375903862023095,4.256514706840673e-17
5,Good,-0.817959154892938,-0.041934966850855286,-1.7690381621662195,-1.0813489823595108,-1.076075262386847,0.5461605073448974,-0.6649222411948197,0.21701040298430407,0.9222640952591833,0.3669444535527058,-1.238050933517197,-0.2828924139674894,-0.4957818078986133,0.1849253182249431,-0.11037742920692425,-0.14983360265394643,-0.0580598420455046,-0.1626537273193914,0.028213710274848564,-0.030062860002168124,0.03395822579011068,0.047030059119204506,-0.010017412055051023,0.01053197478573078,0.02302022545140027,0.017032489848999702,2.1360309495456572e-16
6,Good,1.5054988190333791,-1.2473641148484174,0.9908956638899004,-1.0805117207420327,1.0163946154363084,-0.20278834123883077,-0.3018181362264144,0.7577946063102224,0.7987634629908831,0.07222569082753316,-0.6303425194479502,-0.3126973151981384,0.23575928199801452,0.02341625024184648,0.03175026690857442,0.24709992534018563,-0.23180893201265693,-0.000316080488801907,-0.22128674597945047,-0.03424976699421784,0.03821322216383005,0.02182240889903637,-0.007986227935956316,0.04603144492859669,0.004348312628256827,0.009331015440826032,7.159717290379586e-17
7,Bad,6.318757582717157,1.1049036638369187,2.4952667951146075,-0.32231954852391725,-1.4925966011105027,2.136099707114781,-0.5219904971108007,-0.22710083539194517,-1.109825049608466,-1.0841777743248266,0.015816984300363844,-0.582770268723861,-0.38133794333722143,-0.10791047758252412,0.4705536441054018,0.1536628543619198,0.0009603530825253356,0.0921450604833076,0.25550575982848717,-0.06649095082476392,-0.02545580310863677,-0.021393346439525427,-0.07761857062399069,0.03751076294931853,0.07685726529892986,0.005278493567704937,2.7592027025920806e-16
8,Bad,1.0913672598065571,2.3406051872336264,0.2884625417784199,-2.4553766505366634,0.24800704570101142,0.17499501442513035,0.05665774925591974,0.20163557570045088,-0.3319268703449785,1.1697000113075764,-0.518137893030206,-0.04088082182509045,0.20555168887156625,0.3866117895971428,0.08548019842403534,-0.23523531621145974,-0.10560384330746893,-0.35566767341951955,-0.1685119632550433,0.04422377504997719,-0.09181474099994144,0.06694949310877132,-0.05517210717503582,0.009614330036585827,0.02159150981033145,-0.001680620642243852,-1.7612476706671124e-16
9,Bad,2.942239754577049,3.6925995506718374,-1.4933586629454172,0.9622744168492579,-0.7552572984339812,1.1007886636675897,-1.3137473083044109,-0.25529140101091974,-0.18405631860329508,0.04086231691105426,0.39747066890338734,0.2860655572944991,-0.6005719549938718,0.059181630853416184,0.07999220335447176,-0.32325886708941554,0.18397526800870734,0.011241058876849933,-0.08292397712022025,0.010610317464536502,0.03408700616356048,-0.037823391324289295,0.015776923381502394,0.05974640607868252,0.012130739593865214,0.018317928761121583,7.419717140628342e-17
10,Bad,-4.129313427546979,1.971194771453063,0.6467757609779785,0.33405810826982874,-0.498418159480392,0.8321020059660502,-1.0090381537582895,2.6283160053816963,-2.3634030239623307,-0.23754820113614725,0.1674378377018623,0.7687167762811085,-0.14359367814971483,0.1467315536604888,-0.4490416292042616,-0.12602738730367036,0.10937965210460888,0.09312141710383212,0.0022800664604006433,0.21145171376572014,0.0707479303501098,0.02724477077815922,-0.10185780812909027,-0.04198914466144443,-0.02593209618496241,0.017648858331073627,2.619697883282948e-16
